,Gene,WT_K27me3,NSD1KO_K27me3,WT_K36me2,NSD1KO_K36me2,WT_K36me3,NSD1KO_K36me3,change_K27me3,change_K36me3,change_K36me2,LFC,tpm_Parental,tpm_NSD1KO
838,Rspo4,0.0434139096023045,0.2376266185222773,0.2617216285906488,0.0046961418143553,0.0049229487608043,0.0012578131608834,2.4524671991755707,-1.9686050876060093,-5.800413367246332,-2.29553018619892,1.3432686653655947,0.0369442841222193
854,Nol4l,0.0432756690546685,0.0957468091359753,0.3986476600887285,0.0658995127239174,0.0155836707284765,0.0123554736812038,1.145668284238228,-0.3348847783422956,-2.596774498285207,2.3135534209931,7.089234233681379,33.303631159414714
870,Mmp24,0.0334615555485206,0.1578604394061558,0.2873721166474723,0.0141630019214525,0.0068159777120496,0.0023466716822349,2.238073250573923,-1.5383046063881096,-4.342721096098802,-0.899785214866575,2.0577104803020485,0.7503774800311731
874,Myl9,0.0735896558725669,0.0295057842276844,0.3955623088294056,0.1073078562533312,0.0104360699821735,0.025886731894562,-1.318505184236972,1.3106343180281936,-1.8821492624293168,4.81235701791686,8.913826007004525,244.2583799219576
876,Soga1,0.0282850423307177,0.0208028881436271,0.3142330182875201,0.1503476878463606,0.0326088147277671,0.0333331038480219,-0.4432554930066157,0.0316936591636011,-1.0635320996481277,0.602994316795237,25.686552014638856,37.4442327206516
887,Tox2,0.0413203043006448,0.2185075215755566,0.3628379925725392,0.0048719531733719,0.0046759253291072,0.00151148085881,2.4027601577664512,-1.6292891823494626,-6.218681450486448,-1.93568597451324,0.6889757818198301,0.0257556300069926
894,Rims4,0.022380799246952,0.1011807095672337,0.3255070828984587,0.0674577847912428,0.0160969704731272,0.0065801084202678,2.176600798895976,-1.2906059312610232,-2.2706320877905104,-1.15972966419218,1.622731458660009,0.4998600644274208
910,Ptgis,0.014443017209522,0.0940886329347333,0.2888305222481967,0.0712219473853893,0.0418495420192586,0.0141608770330973,2.703648279138711,-1.5633012153352237,-2.019829419265206,-0.907933943124492,19.87076751955845,9.15141737058456
916,Kcng1,0.0620968135445034,0.2465496915394947,0.3131820300221857,0.0086491578134722,0.0099037608174069,0.0013444124246648,1.9892873033226917,-2.8810006921174303,-5.178297963447802,-3.2341190852582,2.456712607576,0.1948767601478473
917,Nfatc2,0.0227751321746195,0.2088054222776335,0.3829870757190213,0.0134954207961105,0.0115052639869725,0.0018599191898533,3.196627844635936,-2.6289822411147306,-4.826753840987652,-2.819049550786,7.668210654017267,0.9925821041062012
935,Fam217b,0.0728324925679689,0.2470424783179876,0.2223170988309845,0.0067904694058506,0.0073770298902772,0.0013670766681845,1.7621050059514851,-2.43194592696875,-5.03296379550194,-2.35536492104638,2.508497671343259,0.385393478721867
946,Kcnq2,0.0267667778998928,0.0523429177866775,0.2933206315903084,0.0972885757633432,0.0131501886352928,0.0124604930549607,0.967550865390909,-0.0777223385169403,-1.5921362412295084,1.98535423685363,1.45504726133702,5.497887045654245
950,Zbtb46,0.0231486033742029,0.0415465736023118,0.2385279545631175,0.0551604042431145,0.0090418682467271,0.005859369517492,0.8438043471220092,-0.625875460149027,-2.11245341967866,0.584621529378266,2.0810725877360223,3.3042009769496783
960,Zbtb10,0.037635597708931,0.0133087109284274,0.1962261150486576,0.1239871452761346,0.0238897004511343,0.0256024801019147,-1.499727044102859,0.0998948060795669,-0.662326504773586,1.40781898848537,19.862975082400123,50.25980803651541
962,Pag1,0.0254281659770333,0.1679870239475031,0.269680902408041,0.0056100470801017,0.0052171034725681,0.0014843185885016,2.7238504816553464,-1.813448267328844,-5.587096671640838,-3.4032958446155,1.7479289906717672,0.1235708609008763
963,Fabp5,0.0977431233714413,0.1343947413314825,0.1815164207560465,0.0344899226100273,0.0203930913831145,0.0101592817380941,0.4594095770812092,-1.0052820825982278,-2.3958532697887405,-1.39959801987992,8.193088836315914,2.595422534575384
994,Fat4,0.027185881139546,0.1258863269409255,0.1868308041529404,0.004008535429936,0.0030862332385271,0.0010972093369441,2.21119210006252,-1.492008291765204,-5.542513306324664,-1.79881158161917,0.0747069892098574,0.0
995,Intu,0.0102294085313574,0.0191465028549025,0.0847813105534473,0.0382833072145783,0.0056402019201623,0.0045545096392936,0.904358174955093,-0.3084510774612488,-1.1470308012076436,0.566439811474476,10.64011474948408,15.63622820293262
996,Slc25a31,0.0507705963644165,0.1036348881164412,0.137660233522677,0.0289430828080844,0.00390954688764,0.0041077742522427,1.029444648617438,0.0713554883763267,-2.2498213617921,3.48337866614354,2.6087297093387947,29.554812475621617
1010,Sohlh2,0.0306114328536229,0.0201283692684024,0.1976152383280029,0.0357518338122895,0.0090050563473841,0.0883972519062688,-0.6048402810382543,3.295194311155679,-2.466605050215564,4.87320512160822,16.74293874206532,462.3408642662743
1011,Dclk1,0.0267939235303381,0.1457577391716529,0.2284487970648462,0.0068026106280087,0.0035330289491136,0.0013863807805503,2.443594726208542,-1.3495820108925725,-5.0696385219790905,1.97731150761006,0.2526510400558465,1.043283581142315
1012,Nbea,0.0155774379788348,0.0517686703359605,0.1709635982032864,0.060391191621241,0.0065052137209136,0.0054036929723153,1.7326212905876544,-0.2676507499490514,-1.5012791320539003,1.13596528688417,4.49844490378144,9.387813272854556
1017,Siah2,0.0490537026930993,0.0256309039005844,0.2469168389289666,0.1139918566131995,0.0138594361078435,0.0102134229461568,-0.9364776810210228,-0.4404021055967217,-1.115094462606124,0.503108468230811,13.20598220229482,18.85869848010757
1018,Med12l,0.0188472572268792,0.0350856659493978,0.2204085663969556,0.1064587769040171,0.0068344333272703,0.01235310991437,0.8965271574057536,0.8539806604721334,-1.0498854002999802,3.1705764010788,4.850796699874504,41.19576373449637
1032,Mfsd1,0.0184732609221196,0.0139477801036781,0.1143032016511971,0.0504058083354009,0.062778834901784,0.0762211600119081,-0.4054030307251678,0.27991331021514,-1.181203921952747,0.940321060925109,52.25702210697463,95.4358535106524
1033,Schip1,0.0173626413345179,0.1029334541342072,0.235466216769852,0.03963045019333,0.0108326285684933,0.0099499536785572,2.567653601884885,-0.1226216451294755,-2.570838824547643,1.21513732796648,2.18324866682262,5.177396988370383
1036,B3galnt1,0.0319876558055823,0.1653720065560824,0.2485668711203854,0.0090871109988346,0.0136353418752358,0.002205174650486,2.370127867644443,-2.628386045713474,-4.773668515792144,-3.39595892557968,21.81049933703928,1.774683026839788
1045,Glrb,0.0287314218497238,0.1186116420135508,0.1410439073496253,0.0057486327240697,0.003886569639205,0.0012809232468361,2.0455443254729366,-1.6013133348417192,-4.616781676217494,-1.01451523096762,1.7898573112917844,0.5656193009733216
1049,Rbm46,0.0415624599014136,0.1167054065950751,0.1268538198354456,0.00507036668613,0.0036408302865646,0.0012558340004235,1.4895184493924618,-1.5356217152016618,-4.64493306650071,-1.14376791938563,2.3889203658437537,0.6860700879433528
1067,Nes,0.2667229980855121,0.1324293707756455,0.1756216573219829,0.0727469806920963,0.0105121932387436,0.0111865455978859,-1.0101191011004047,0.089700900133663,-1.271511489777112,0.956674061272414,8.363008243358866,15.612379388551275
1068,Bcan,0.1602227942736019,0.2419352888209077,0.2113443066300966,0.0059387711959895,0.0056124927452726,0.0017660454056258,0.5945418080392632,-1.668119239380814,-5.153286987390779,-1.19861785073279,1.1726611509379414,0.2808290176446462
1070,Rhbg,0.0607605750418736,0.1673837121738176,0.4668005920811247,0.0424435826686549,0.0114168169312918,0.009299451786274,1.4619517197285248,-0.2959429005301941,-3.45918804634155,1.49891880761409,1.705633701492922,5.774610977865805
